ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE,G_LOCATION,G_LAT,G_LNG
6931552,1800,4,120.0,100.0,274000,4/7/2017,3554.0,65.0,House,Den  Haeckstraat  20 1800    Vilvoorde ,Vilvoorde,"Den Haeckstraat 20, 1800 Vilvoorde, Belgium",50.9349033,4.4264671
6931551,1800,3,225.0,274.0,378000,4/7/2017,2373.0,19.0,House,Lenterik  10 1800    Vilvoorde ,Vilvoorde,"Lenterik 10, 1800 Vilvoorde, Belgium",50.9177957,4.4163491
6925343,1800,4,221.0,620.0,385000,4/3/2017,2462.0,27.0,House,Olmstraat  139 1800    Vilvoorde ,Vilvoorde,"Olmstraat 139, 1800 Vilvoorde, Belgium",50.9309285,4.4346124
6922407,1800,4,220.0,215.0,290000,3/31/2017,2543.0,13.0,House,Vilvoordestraat  45 1800    Vilvoorde ,Vilvoorde,"Vilvoordestraat 45, 1800 Vilvoorde, Belgium",50.9277449,4.452299
6920473,1800,3,,100.0,147200,3/30/2017,3482.0,15.0,House,Stationlei  87 1800    Vilvorde ,Vilvoorde,"Stationlei 87, 1800 Vilvoorde, Belgium",50.9249723,4.4316976
6919075,1800,3,140.0,222.0,310000,3/29/2017,2496.0,50.0,House,Meeuwenlaan  52 1800    Vilvoorde  Koningslo ,Vilvoorde,"Meeuwenlaan 52, 1800 Vilvoorde, Belgium",50.9122291,4.3698532
6918898,1800,4,512.0,318.0,299500,3/29/2017,2434.0,13.0,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6916562,1800,4,162.0,296.0,295000,3/28/2017,,,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6914665,1800,3,125.0,55.0,225000,3/27/2017,,,House,1800    Vilvoorde ,Vilvoorde,"1800, Belgium",50.9377435,4.4605278
6913756,1800,3,130.0,113.0,225000,3/26/2017,629.0,7.0,House,Aarschotsestraat  133   1800    Peutie ,Vilvoorde,"Aarschotsestraat 133, 1800 Vilvoorde, Belgium",50.9263951,4.4581224
6913131,1800,3,131.0,,289000,3/25/2017,,,House,Schapulierstraat  14 1800    Vilvoorde ,Vilvoorde,"Schapulierstraat 14, 1800 Vilvoorde, Belgium",50.9269941,4.4293406
6911017,1800,3,80.0,170.0,265000,3/23/2017,546.0,1.0,House,Maurits  Duchhof  76 1800    Vilvoorde ,Vilvoorde,"Maurits Duchéhof 76, 1800 Vilvoorde, Belgium",50.9336605,4.4355005
6909051,1800,5,300.0,575.0,595000,3/22/2017,542.0,4.0,House,1800    Vilvoorde ,Vilvoorde,"Vilvoorde, Belgium",50.9272511,4.4257868
6908781,1800,5,181.0,114.0,275000,3/22/2017,1364.0,26.0,House,1800    PEUTIE ,Vilvoorde,"1800 Peutie, Belgium",50.927361,4.455442
6908537,1800,3,128.0,,311900,3/22/2017,55.0,0.0,Apartment,Maria  Theresialaan  3713 1800    Vilvoorde ,Vilvoorde,"Maria-Theresialaan, 1800 Vilvoorde, Belgium",50.9237702,4.421167
