ID,POSTAL_CODE,BEDROOMS,LIVING_AREA,LAND,PRICE,POSTED,VIEWS,SAVES,TYPE,LOCATION,COMMUNE
6534456,"1120",5,210,270,420000,8/2/2016,55,0,"House","Gemenebeemdenstraat  20 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6533968,"1120",3,95,,229000,8/2/2016,60,0,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6529098,"1120",2,80,,197500,7/29/2016,85,2,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6522287,"1120",2,93,,184000,7/25/2016,71,0,"Apartment","Frans  Vekemansstraat  211 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6516449,"1120",2,95,,220000,7/19/2016,1028,2,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6516125,"1120",2,90,,199500,7/19/2016,356,8,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6515293,"1120",3,110,125,215000,7/19/2016,,,"House","1120    Brussels  City ","Neder-Over-Heembeek"
6504850,"1120",2,75,,130000,7/11/2016,,,"Apartment",,"Neder-Over-Heembeek"
6497080,"1120",3,114,,295000,7/6/2016,217,3,"Apartment","1120     NederoverHeembeek ","Neder-Over-Heembeek"
6494435,"1120",2,86,,204450,7/5/2016,,,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6493251,"1120",3,155,,275000,7/4/2016,,,"House","Lombardsijdestraat  217  B3 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6492186,"1120",4,185,,369000,7/4/2016,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6478473,"1120",2,,,390000,6/25/2016,64,0,"House","RUE  DES  TROIS  PERTUIS  24 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6475140,"1120",2,86,,210000,6/24/2016,84,2,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6470089,"1120",4,188,1270,415000,6/22/2016,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6468547,"1120",2,67,,174000,6/21/2016,,,"Apartment","SintNikolaasstraat    box8 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6466867,"1120",2,99,,245000,6/20/2016,,,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6466864,"1120",3,151,,290000,6/20/2016,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6466489,"1120",3,100,,299000,6/20/2016,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6466367,"1120",2,85,,149000,6/20/2016,,,"Apartment","Avenue  des  croix  de  guerre  324 1120     NederoverHeembeek ","Neder-Over-Heembeek"
6465254,"1120",2,90,,190000,6/18/2016,1803,4,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6458279,"1120",3,120,,299000,6/15/2016,,,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6453546,"1120",3,120,,229000,6/13/2016,,,"Apartment","avenue  des  croix  de  guerre  221 1120    NederoverHeembeek ","Neder-Over-Heembeek"
6453481,"1120",2,103,,250000,6/13/2016,,,"Apartment","Place  Peter  Benoit  15   1120    NederoverHeembeek ","Neder-Over-Heembeek"
6451011,"1120",3,280,2700,575000,6/11/2016,,,"House","1120    NederoverHeembeek ","Neder-Over-Heembeek"
6439839,"1120",2,93,,193000,6/6/2016,191,4,"Apartment","1120    NederoverHeembeek ","Neder-Over-Heembeek"
